Conf1,Year1,Conf2,Year2,Overlap
ICFP,10,ICFP,10,335
ICFP,10,ICFP,11,80
ICFP,10,ICFP,12,101
ICFP,10,ICFP,13,107
ICFP,10,ICFP,14,83
ICFP,10,ICFP,15,69
ICFP,10,ICFP,16,59
ICFP,10,ICFP,17,71
ICFP,10,ICFP,18,52
ICFP,11,ICFP,11,335
ICFP,11,ICFP,12,105
ICFP,11,ICFP,13,82
ICFP,11,ICFP,14,61
ICFP,11,ICFP,15,60
ICFP,11,ICFP,16,88
ICFP,11,ICFP,17,62
ICFP,11,ICFP,18,42
ICFP,12,ICFP,12,481
ICFP,12,ICFP,13,140
ICFP,12,ICFP,14,149
ICFP,12,ICFP,15,104
ICFP,12,ICFP,16,89
ICFP,12,ICFP,17,111
ICFP,12,ICFP,18,71
ICFP,13,ICFP,13,505
ICFP,13,ICFP,14,142
ICFP,13,ICFP,15,138
ICFP,13,ICFP,16,103
ICFP,13,ICFP,17,122
ICFP,13,ICFP,18,101
ICFP,14,ICFP,14,483
ICFP,14,ICFP,15,141
ICFP,14,ICFP,16,106
ICFP,14,ICFP,17,137
ICFP,14,ICFP,18,80
ICFP,15,ICFP,15,439
ICFP,15,ICFP,16,135
ICFP,15,ICFP,17,146
ICFP,15,ICFP,18,108
ICFP,16,ICFP,16,528
ICFP,16,ICFP,17,179
ICFP,16,ICFP,18,112
ICFP,17,ICFP,17,592
ICFP,17,ICFP,18,135
ICFP,18,ICFP,18,487
ICFP,10,POPL,11,55
ICFP,10,POPL,12,76
ICFP,10,POPL,13,51
ICFP,10,POPL,14,55
ICFP,10,POPL,15,15
ICFP,10,POPL,16,47
ICFP,10,POPL,17,44
ICFP,10,POPL,18,40
ICFP,11,POPL,11,40
ICFP,11,POPL,12,45
ICFP,11,POPL,13,54
ICFP,11,POPL,14,50
ICFP,11,POPL,15,20
ICFP,11,POPL,16,34
ICFP,11,POPL,17,41
ICFP,11,POPL,18,37
ICFP,12,POPL,12,76
ICFP,12,POPL,13,63
