id,city,state,country,continent,conference,year,footprint
10001,København N,,Denmark,EU,ICFP,16,2536.6429
10002,Cambridge,,United Kingdom,EU,ICFP,13,1547.1765
10002,Cambridge,,United Kingdom,EU,ICFP,14,321.3501
10003,Oakland,CA,USA,NA,SPLASH,10,162.3924
10004,Haifa,,Israel,AS,SPLASH,13,2920.1963
10004,Haifa,,Israel,AS,SPLASH,14,3240.9946
10004,Haifa,,Israel,AS,SPLASH,15,2791.1388
10005,Palo Alto,CA,USA,NA,ICFP,16,2548.1161
10005,Palo Alto,CA,USA,NA,PLDI,17,2820.0714
10005,Palo Alto,CA,USA,NA,POPL,9,1107.8234
10005,Palo Alto,CA,USA,NA,POPL,14,386.3862
10005,Palo Alto,CA,USA,NA,POPL,18,287.2741
10006,Paris,,France,EU,POPL,18,2673.1413
10007,Paris,,France,EU,ICFP,16,2838.6948
10007,Paris,,France,EU,POPL,15,2059.9561
10008,Corvallis,OR,USA,NA,ICFP,15,290.3138
10008,Corvallis,OR,USA,NA,SPLASH,14,64.7157
10009,Kidlington,,United Kingdom,EU,SPLASH,15,1733.9807
10010,West Lafayette,IN,USA,NA,SPLASH,9,923.0416
10011,Saskatoon,SK,Canada,NA,SPLASH,15,795.7244
10012,Uppsala,,Sweden,EU,POPL,13,669.9413
10013,Miyagi Japan,,Japan,AS,ICFP,14,2451.8507
10014,Yokohama,,Japan,AS,ICFP,10,3209.565
10015,Tokyo,,Japan,AS,ICFP,11,0.0
10016,Chiba,,Japan,AS,ICFP,16,226.14
10016,Kobe,,Japan,AS,POPL,14,2759.9225
10016,Chiba,,Japan,AS,POPL,18,2585.4472
10016,Chiba,,Japan,AS,SPLASH,17,2216.9958
10017,Gothenburg,,Sweden,EU,ICFP,13,1697.6116
10017,Gothenburg,,Sweden,EU,ICFP,17,355.2706
10017,Munchen,,Germany,EU,POPL,13,388.9626
10018,Phoenix,AZ,USA,NA,SPLASH,12,96.6015
10019,Oakwood,OH,USA,NA,ICFP,14,1888.4943
10020,West Lafayette,IN,USA,NA,SPLASH,16,1965.7492
10021,Calgary,AB,Canada,NA,SPLASH,17,376.4522
10022,Detroit,MI,USA,NA,PLDI,15,1046.2632
10022,Pittsburgh,PA,USA,NA,POPL,9,307.8466
10022,Detroit,MI,USA,NA,SPLASH,9,1019.3709
10022,Detroit,MI,USA,NA,SPLASH,10,1017.6606
10022,Detroit,MI,USA,NA,SPLASH,13,215.4283
10022,Detroit,MI,USA,NA,SPLASH,14,1046.2632
10022,Detroit,MI,USA,NA,SPLASH,15,184.1098
10023,Cachan,,France,EU,POPL,17,3.573
10024,Yahud,,Israel,AS,SPLASH,9,3423.6779
10025,Boston,MA,USA,NA,SPLASH,9,1191.9748
10026,New York,NY,USA,NA,ICFP,16,3263.1559
10027,Skudai,,Malaysia,AS,ICFP,16,1455.2086
10028,Evora,,Portugal,EU,POPL,11,2342.2721
10028,Evora,,Portugal,EU,POPL,13,582.7269
10029,Toronto,ON,Canada,NA,POPL,14,1151.3838
10030,Kaiserslautern,,Germany,EU,ICFP,10,1897.0003
10030,Kaiserslautern,,Germany,EU,ICFP,11,2774.8731
10030,Le Chesnay,,France,EU,ICFP,13,1623.8891
10030,Pittsburgh,PA,USA,NA,ICFP,14,1888.2392
10030,Pittsburgh,PA,USA,NA,PLDI,13,1135.8258
10030,Pittsburgh,PA,USA,NA,PLDI,17,1948.4866
10030,Chicago,IL,USA,NA,POPL,9,405.9786
10030,Kaiserslautern,,Germany,EU,POPL,11,2503.6298
10030,Kaiserslautern,,Germany,EU,POPL,12,1855.1512
10030,Pittsburgh,PA,USA,NA,POPL,13,2156.2931
10030,Pittsburgh,PA,USA,NA,POPL,17,1841.7162
10031,Roma,,Italy,EU,POPL,14,3016.9047
10032,Reggio Emilia,,Italy,EU,ICFP,14,478.6975
10033,Bangalore,,India,AS,PLDI,18,3964.7492
10034,Rennes,,France,EU,SPLASH,14,2393.5107
10035,Cambridge,MA,USA,NA,PLDI,15,1198.4333
10035,Cambridge,MA,USA,NA,PLDI,16,1255.049
10035,Cambridge,MA,USA,NA,PLDI,18,241.8351
