conf,year,location,nb participants,total cost,average cost
ICFP,10,Baltimore,336,399.44,1.19
ICFP,11,Tokyo,336,518.27,1.54
ICFP,12,Copenhagen,481,422.34,0.88
ICFP,13,Boston,505,512.06,1.01
ICFP,14,Gothenburg,483,426.35,0.88
ICFP,15,Vancouver,439,636.14,1.45
ICFP,16,Nara,528,1019.65,1.93
ICFP,17,Oxford,592,610.05,1.03
ICFP,18,St. Louis,487,572.49,1.18
POPL,9,Savannah,331,488.19,1.47
POPL,11,Austin,403,595.97,1.48
POPL,12,Philadelphia,536,586.16,1.09
POPL,13,Rome,540,658.2,1.22
POPL,14,San Diego,533,905.64,1.7
POPL,15,Mumbai,463,748.24,1.62
POPL,16,St. Petersburg,488,695.45,1.43
POPL,17,Paris,719,671.79,0.93
POPL,18,Los Angeles,576,932.93,1.62
PLDI,9,Dublin,255,381.48,1.5
PLDI,13,Seattle,467,595.13,1.27
PLDI,14,Edinburgh,427,545.71,1.28
PLDI,15,Portland,465,599.0,1.29
PLDI,16,Santa Barbara,438,575.25,1.31
PLDI,17,Barcelona,495,784.67,1.59
PLDI,18,Philadelphia,468,421.32,0.9
SPLASH,9,Reno,709,1125.85,1.59
SPLASH,10,Sparks,566,821.57,1.45
SPLASH,12,Tucson,434,665.03,1.53
SPLASH,13,Indianapolis,606,668.87,1.1
SPLASH,14,Portland,491,625.91,1.27
SPLASH,15,Pittsburgh,611,777.82,1.27
SPLASH,16,Amsterdam,584,595.63,1.02
SPLASH,17,Vancouver,582,864.69,1.49
