Year,Avrg nb of participations,Avrg non one timer,>= 2,>= 2 per,>= 3,>= 3 per,= 4,= 4 per
9,1.05,2.07,56,4.53,4,0.32,0,0.0
10,1.01,2.0,13,1.46,0,0.0,0,0.0
11,1.06,2.0,43,6.18,0,0.0,0,0.0
12,1.09,2.05,110,8.23,5,0.37,0,0.0
13,1.13,2.12,217,11.57,23,1.23,2,0.11
14,1.13,2.14,191,11.12,22,1.28,4,0.23
15,1.09,2.11,152,8.4,16,0.88,0,0.0
16,1.11,2.1,178,9.66,17,0.92,0,0.0
17,1.13,2.13,248,11.77,31,1.47,2,0.09
18,1.12,2.11,146,10.66,16,1.17,0,0.0
All,1.88,3.79,2743,31.43,1508,17.28,960,11.0
