conf,year,orig. loc.,orig. cost,best loc.,best cost,saved
ICFP,10,Baltimore,1.19,Philadelphia,1.18,0.01
ICFP,11,Tokyo,1.54,Tokyo*,1.54,0.0
ICFP,12,Copenhagen,0.88,Copenhagen*,0.88,0.0
ICFP,13,Boston,1.01,Boston*,1.01,0.0
ICFP,14,Gothenburg,0.88,Gothenburg*,0.88,0.0
ICFP,15,Vancouver,1.45,Philadelphia,1.37,0.08
ICFP,16,Nara,1.93,Edinburgh,1.9,0.03
ICFP,17,Oxford,1.03,Oxford*,1.03,0.0
ICFP,18,St. Louis,1.18,Philadelphia,1.12,0.06
POPL,9,Savannah,1.47,Boston,1.3,0.17
POPL,11,Austin,1.48,Philadelphia,1.27,0.21
POPL,12,Philadelphia,1.09,Philadelphia*,1.09,0.0
POPL,13,Rome,1.22,Paris,1.06,0.16
POPL,14,San Diego,1.7,Boston,1.24,0.46
POPL,15,Mumbai,1.62,Paris,1.59,0.03
POPL,16,St. Petersburg,1.43,Boston,1.14,0.29
POPL,17,Paris,0.93,Paris*,0.93,0.0
POPL,18,Los Angeles,1.62,Boston,1.3,0.32
PLDI,9,Dublin,1.5,Boston,1.22,0.28
PLDI,13,Seattle,1.27,Seattle*,1.27,0.0
PLDI,14,Edinburgh,1.28,Edinburgh*,1.28,0.0
PLDI,15,Portland,1.29,Philadelphia,1.14,0.15
PLDI,16,Santa Barbara,1.31,Philadelphia,1.2,0.11
PLDI,17,Barcelona,1.59,Edinburgh,1.42,0.17
PLDI,18,Philadelphia,0.9,Philadelphia*,0.9,0.0
SPLASH,9,Reno,1.59,Philadelphia,1.19,0.4
SPLASH,10,Sparks,1.45,Philadelphia,1.29,0.16
SPLASH,12,Tucson,1.53,Philadelphia,1.28,0.25
SPLASH,13,Indianapolis,1.1,Philadelphia,1.09,0.01
SPLASH,14,Portland,1.27,Philadelphia,1.22,0.05
SPLASH,15,Pittsburgh,1.27,Pittsburgh*,1.27,0.0
SPLASH,16,Amsterdam,1.02,Amsterdam*,1.02,0.0
SPLASH,17,Vancouver,1.49,Philadelphia,1.33,0.16
