Year1,Year2,Overlap
9,10,"[140, 709, 566]"
9,12,"[82, 709, 434]"
9,13,"[81, 709, 606]"
9,14,"[66, 709, 491]"
9,15,"[68, 709, 611]"
9,16,"[38, 709, 584]"
9,17,"[45, 709, 582]"
10,12,"[100, 566, 434]"
10,13,"[97, 566, 606]"
10,14,"[85, 566, 491]"
10,15,"[89, 566, 611]"
10,16,"[60, 566, 584]"
10,17,"[67, 566, 582]"
12,13,"[113, 434, 606]"
12,14,"[93, 434, 491]"
12,15,"[94, 434, 611]"
12,16,"[54, 434, 584]"
12,17,"[82, 434, 582]"
13,14,"[122, 606, 491]"
13,15,"[126, 606, 611]"
13,16,"[92, 606, 584]"
13,17,"[96, 606, 582]"
14,15,"[127, 491, 611]"
14,16,"[82, 491, 584]"
14,17,"[96, 491, 582]"
15,16,"[127, 611, 584]"
15,17,"[128, 611, 582]"
16,17,"[116, 584, 582]"
